site_id,site_name,township,lat,lon,building_type,collapse_pattern,est_trapped,priority_score,road_type,status,reported_at,scout_notes
S0001,Chanayethazan Site 1,Mahaaungmye,21.8561,96.036796,reinforced_concrete,v-shape,6,0.56,unpaved,awaiting_rescue,2026-07-04T04:48:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 6 people believed inside. Dust and debris blocking main road."
S0002,Chanmyathazi Site 2,Singu,21.959958,95.979024,reinforced_concrete,v-shape,4,0.46,paved,awaiting_rescue,2026-07-04T09:05:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 4 people believed inside. Dust and debris blocking main road."
S0003,Singu Site 3,Sagaing,21.910772,96.022913,timber,pancake,2,0.57,unpaved,awaiting_rescue,2026-07-04T07:00:03.410948+00:00,"Multi-story timber building, pancake collapse. Voices heard from rubble. 2 people believed inside. Dust and debris blocking main road."
S0004,Chanayethazan Site 4,Kyaukse,22.061095,96.06086,brick_masonry,cantilever,5,0.36,paved,awaiting_rescue,2026-07-04T08:59:03.410948+00:00,"Multi-story brick masonry building, cantilever collapse. Voices heard from rubble. 5 people believed inside. Dust and debris blocking main road."
S0005,Pyigyidagun Site 5,Kyaukse,21.913262,95.991406,reinforced_concrete,pancake,1,0.58,paved,awaiting_rescue,2026-07-04T07:10:03.410948+00:00,"Partial pancake collapse of reinforced concrete apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0006,Singu Site 6,Tada-U,22.053212,96.123517,brick_masonry,pancake,7,0.66,paved,awaiting_rescue,2026-07-04T07:18:03.410948+00:00,"Residential brick masonry home, pancake collapse. Family of 7 not evacuated. Water pipe burst flooding the basement void."
S0007,Singu Site 7,Amarapura,21.920807,96.15148,reinforced_concrete,cantilever,9,0.36,paved,awaiting_rescue,2026-07-04T04:37:03.410948+00:00,"Market hall reinforced concrete, cantilever failure of roof. Vendors estimate 9 people under the structure. Aftershock risk, wall leaning."
S0008,Patheingyi Site 8,Myitnge,21.958634,96.178535,brick_masonry,pancake,1,0.59,paved,awaiting_rescue,2026-07-04T08:39:03.410948+00:00,"Market hall brick masonry, pancake failure of roof. Vendors estimate 1 people under the structure. Aftershock risk, wall leaning."
S0009,Myitnge Site 9,Mahaaungmye,21.898113,96.204773,brick_masonry,pancake,1,0.52,unpaved,awaiting_rescue,2026-07-04T05:25:03.410948+00:00,School building (brick masonry) collapsed in pancake configuration. Estimated 1 children and staff unaccounted for. Access road cracked.
S0010,Aungmyethazan Site 10,Kyaukse,21.979533,96.081672,reinforced_concrete,v-shape,17,0.74,unpaved,awaiting_rescue,2026-07-04T05:02:03.410948+00:00,"Market hall reinforced concrete, v-shape failure of roof. Vendors estimate 17 people under the structure. Aftershock risk, wall leaning."
S0011,Kyaukse Site 11,Aungmyethazan,21.914151,96.009625,reinforced_concrete,v-shape,7,0.59,paved,awaiting_rescue,2026-07-04T05:35:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 7 people believed inside. Dust and debris blocking main road."
